"bank_id","species","common_name"
3789,"Acantharchus pomotis","Mud Sunfish"
3790,"Acantharchus pomotis","Mud Sunfish"
3791,"Acantharchus pomotis","Mud Sunfish"
3792,"Acantharchus pomotis","Mud Sunfish"
3793,"Acantharchus pomotis","Mud Sunfish"
3794,"Acantharchus pomotis","Mud Sunfish"
3795,"Acantharchus pomotis","Mud Sunfish"
3796,"Acantharchus pomotis","Mud Sunfish"
3798,"Acantharchus pomotis","Mud Sunfish"
3802,"Acantharchus pomotis","Mud Sunfish"
7229,"Acantharchus pomotis","Mud Sunfish"
3805,"Acantharchus pomotis","Mud Sunfish"
3806,"Acantharchus pomotis","Mud Sunfish"
3812,"Acantharchus pomotis","Mud Sunfish"
3813,"Acantharchus pomotis","Mud Sunfish"
3814,"Acantharchus pomotis","Mud Sunfish"
3817,"Acantharchus pomotis","Mud Sunfish"
3822,"Acantharchus pomotis","Mud Sunfish"
3823,"Acantharchus pomotis","Mud Sunfish"
3824,"Acantharchus pomotis","Mud Sunfish"
3825,"Acantharchus pomotis","Mud Sunfish"
3826,"Acantharchus pomotis","Mud Sunfish"
3827,"Acantharchus pomotis","Mud Sunfish"
3829,"Acantharchus pomotis","Mud Sunfish"
3830,"Acantharchus pomotis","Mud Sunfish"
3831,"Acantharchus pomotis","Mud Sunfish"
3833,"Acantharchus pomotis","Mud Sunfish"
3832,"Acantharchus pomotis","Mud Sunfish"
3847,"Acantharchus pomotis","Mud Sunfish"
3848,"Acantharchus pomotis","Mud Sunfish"
3852,"Acantharchus pomotis","Mud Sunfish"
3853,"Acantharchus pomotis","Mud Sunfish"
5270,"Acantharchus pomotis","Mud Sunfish"
3855,"Acantharchus pomotis","Mud Sunfish"
3856,"Acantharchus pomotis","Mud Sunfish"
6771,"Acantharchus pomotis","Mud Sunfish"
3857,"Acantharchus pomotis","Mud Sunfish"
3860,"Acantharchus pomotis","Mud Sunfish"
3863,"Acantharchus pomotis","Mud Sunfish"
3865,"Acantharchus pomotis","Mud Sunfish"
3868,"Acantharchus pomotis","Mud Sunfish"
3867,"Acantharchus pomotis","Mud Sunfish"
3870,"Acantharchus pomotis","Mud Sunfish"
3872,"Acantharchus pomotis","Mud Sunfish"
3873,"Acantharchus pomotis","Mud Sunfish"
6564,"Acantharchus pomotis","Mud Sunfish"
7230,"Acantharchus pomotis","Mud Sunfish"
3875,"Acantharchus pomotis","Mud Sunfish"
4555,"Acantharchus pomotis","Mud Sunfish"
3877,"Acantharchus pomotis","Mud Sunfish"
3880,"Acantharchus pomotis","Mud Sunfish"
3882,"Acantharchus pomotis","Mud Sunfish"
3883,"Acantharchus pomotis","Mud Sunfish"
3893,"Acantharchus pomotis","Mud Sunfish"
3894,"Acantharchus pomotis","Mud Sunfish"
3895,"Acantharchus pomotis","Mud Sunfish"
3896,"Acantharchus pomotis","Mud Sunfish"
3897,"Acantharchus pomotis","Mud Sunfish"
3898,"Acantharchus pomotis","Mud Sunfish"
3900,"Acantharchus pomotis","Mud Sunfish"
3901,"Acantharchus pomotis","Mud Sunfish"
3902,"Acantharchus pomotis","Mud Sunfish"
3903,"Acantharchus pomotis","Mud Sunfish"
3909,"Acantharchus pomotis","Mud Sunfish"
4558,"Acantharchus pomotis","Mud Sunfish"
